Metabolite,Hyd,avg,Category
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.1510_3,0.239175448,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.1510_4,0.212531696,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPep.4601N_1,0.008493591,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.503_2,1.42E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.503_3,1.45E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.555_1,1.22E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.555_2,1.22E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HY.YEST.555_3,1.38E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPea.7404_1,1.14E-07,Other
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-Tetrahydroxy-2,6,13,16-Tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy}-10-Oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-En-11-One",HyPea.7404_2,0.000657937,Other
