"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Blank_2","Blank_3","Blank_4","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
1.863,"[M+H]+","N,N-Dimethylarginine",10646,NA,23890,NA,9123695,10872274,25879175,5492370,3287987,4723821,4284880,17739389,22096869,21113118,17233970,20515068,18929167,24127184,23305167,19530925,21698163,9697596,10275200,10789964,20594152,21047774,21813575,21691526,14912354,14923705,15201767,15491552,7226410,6617150
10.473,"[M+H]+","Spermine",21920,12336,39639,33348,345988,684934,38366,NA,489630,434470,535560,694062,1777485,2257755,692334,666671,1061236,24570,498617,1262834,541650,646673,637734,448285,268696,275337,631646,59476,NA,NA,8473,NA,NA,NA
1.51,"[M+H]+","Spermine",NA,14804,43519,31341,192795450,140011676,3884190,15804,28408,88119,89752,112528518,122194332,202581142,240241771,161982130,224812423,245071,216059548,233473031,197782533,125280680,108090268,45901069,151985124,159721184,116272524,65504,64797,19349,12204,NA,NA,28599
12.082,"[M+H]+","Spermine",20876,17756,35852,38534,99604,225634,29650,NA,209760,212848,211133,1521599,361111,1477222,1034401,686942,522004,70356,241323,276654,287742,299803,347377,258579,220835,206967,202588,100854,NA,NA,NA,NA,NA,NA
28.42,"[M+H]+","Spermine",9631304,14524332,55882233,71770559,49558339,131506539,14224780,30378832,86901178,87899740,84147787,121251865,164469377,162615447,147454010,143597378,150019182,41380682,119759221,129071691,114248236,122569051,122605386,107243198,108144182,77359556,99324322,68403572,37388487,27135317,5878250,11234406,49545755,49166296
3.553,"[M+H]+","Spermine",252485,28217,36784,42939,386585,711734,45451,NA,NA,15688,24482,1454968,1428229,2180167,1828619,2396953,2185784,46128,895353,1001209,982350,1542072,2342881,1430456,985388,1096771,847569,22338,NA,NA,NA,NA,NA,NA
19.876,"[M+H]+","Isopentenyladenine",350457,357303,343509,332799,5270242,5377699,221924,680771,389672,206310,546674,843136,1828937,2013424,14160015,11446964,14595567,202378,43821488,18479737,28210820,695533,1572092,939553,8109366,3641588,30839602,278209,641940,257852,308316,290061,215565,677737
19.521,"[M+H]+","TRYPTOPHAN",NA,NA,NA,NA,1466772,1327139,46975,227981,181866,264810,166361,287387,260953,261618,408174,424738,665960,58844,595753,525055,647476,219246,125504,421427,694241,144899,718854,38987,1485664,1518011,1375809,1256916,5170005,3873114
8.788,"[M+H]+","TRYPTOPHAN",6248,102926,146507,91604,13673027,12792884,424752,4584048,1970457,380015,420450,1140654,4881964,991438,4669697,1535414,5234361,542782,1791401,2794330,7392272,2125796,2236162,259065,1316931,1205468,1720097,585294,29658757,31536888,25875629,33726537,831297,849844
19.293,"[M+H]+","TRYPTOPHAN",11158,15785,NA,NA,902118,742362,101496,3476456,231221,196098,216934,275449,340133,278785,481978,523561,603843,115259,645848,587179,589750,528780,411443,421427,287113,281743,344367,116958,1415994,1502748,1391607,1145961,659087,554061
6.321,"[M+H]+","TRYPTOPHAN",3463,120493,144473,147160,300235317,267824778,8953520,185667653,317000,113542510,111929747,377518798,426476600,367402580,363546,439141,555509452,774010,541390732,483724386,293409,15622299,31498698,16409276,113494908,90523946,231056157,798276,199700154,203216612,189076847,159694049,294478785,279696514
