"Average.Rt.min.","Adduct.type","Metabolite.name","Blank_1","Pool_1","Pool_2","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
28.248,"[M-H]-","Phenylalanine",412492,862978,1120761,271505,682743,477257,363917,337897,959214,1284202,1462494,1634372,1931185,1901842,163796,2145731,2132125,2376539,1524041,1068721,865575,812581,754137,919465,116920,290286,358914,377084,354534,571113,763988
3.113,"[M-H]-","Phenylalanine",265029,1187184224,971768277,48765370,801171656,222137361,189465952,195940608,1496523680,1520242372,1276093264,1765594496,1860273284,1606707260,39350321,1847755908,1930579548,2048724476,65326985,166004956,66349394,286415972,212679602,938053032,45732423,416424064,414419238,385292190,337981775,961167798,921790358
7.215,"[M-H]-","Phenylalanine",212174,3462350,4878477,305905,1210250,682999,499613,693182,7134395,2915510,4397786,4205393,5738419,3679906,291920,9206093,6915589,8519638,1847024,1457152,1363472,10272416,12296777,8821479,293984,1123149,882594,928824,1219088,1751537,1422481
10.617,"[M-H]-","Phenylalanine",187057,685267,1649870,438014,568132,686440,392978,575362,1961128,3637569,1640390,2254583,1912691,1952152,574504,2213772,2100484,2192725,756970,637402,485054,533833,622056,1203551,533945,406785,418686,402889,358161,807030,836974
18.187,"[M-H]-","Phenylalanine",214950,480396,632703,209776,341005,494556,259221,483092,813512,871826,697237,1392256,1408902,1505761,282504,1069206,1141895,1223155,618817,668875,699892,394486,321115,488420,137399,370053,400194,376653,325490,329516,401294
5.339,"[M-H]-","Phenylalanine",225007,2734552,5612297,708027,2465826,1585007,1459217,1676567,9008116,13803226,6605691,6750232,9181115,8899501,711342,5872370,12433498,13071854,2010808,1057686,793809,1421287,1070986,4254130,672465,2049301,1498129,2006369,2085182,3171856,3130023
14.764,"[M-H]-","Phenylalanine",182859,512556,873407,254670,412242,264369,298736,379793,1071587,881562,799460,1089423,1217219,1309539,437242,1222370,1195696,1366230,662116,548588,453581,359278,335047,636366,401178,275830,371533,306236,213730,438533,479191
11.991,"[M-H]-","Phenylalanine",189492,607808,1430910,508947,477369,311105,736024,496123,1152477,1223840,1067939,2358271,1567242,1609053,551648,1552587,1800200,1627434,873337,704343,605474,575056,532470,829713,530541,434019,473914,379424,289720,533348,606165
6.823,"[M-H]-","3-phenyllactic acid",4036,2781743,10424227,1617448,417662,226429,232590,429952,5642133,4593866,3194062,4895455,6923601,5548974,6445,12768589,2863099,25613400,767909,1708430,821259,6017350,2694202,43253510,1470111,38228,17560,79090,32902,777564,444940
15.007,"[M-H]-","Vanillic acid",6973,2091102,1924694,14193,142426,378380,343413,487084,1162754,593417,445648,599625,946052,609124,3852,477648,372296,515063,1886931,3204762,1071120,535892,469119,1069355,25558,7401607,7685529,6507806,6254632,225801,191917
